acteur	nombre
Björk	1
Catherine Deneuve	35
David Morse	6
Peter Stormare	19
Joel Grey	1
Cara Seymour	1
Vladica Kostic	1
Jean-Marc Barr	15
Vincent Paterson	1
Siobhan Fallon Hogan	3
Johnny Depp	10
Geoffrey Rush	8
Orlando Bloom	15
Keira Knightley	11
Jack Davenport	6
Jonathan Pryce	8
Lee Arenberg	3
Mackenzie Crook	5
Damian O'Hare	3
Giles New	1
Uma Thurman	8
David Carradine	8
Daryl Hannah	5
Michael Madsen	15
Lucy Liu	11
Vivica A. Fox	10
Julie Dreyfus	3
Chiaki Kuriyama	8
Shin'ichi Chiba	6
Chia-Hui Liu	7
Bill Nighy	18
Kevin McNally	8
David Bailie	2
Kais Nashif	3
Ali Suliman	11
Lubna Azabal	24
Hamza Abu-Aiaash	1
Lutuf Nouasser	2
Mohammad Bustami	1
Ahmad Fares	1
Waleed On-Allah	1
Asaad Dwikat	1
Imad Saber	1
Jamie Bell	11
Julie Walters	7
Jean Heywood	1
Jamie Draven	2
Gary Lewis	6
Stuart Wells	1
Mike Elliot	1
Billy Fane	1
Nicola Blackwell	1
Carol McGuigan	1
Jet Li	19
Tony Leung Chiu-wai	15
Maggie Cheung	4
Ziyi Zhang	15
Daoming Chen	2
Donnie Yen	33
Zhongyuan Liu	1
Tianyong Zheng	1
Yan Qin	3
Chang Xiao Yang	1
Colin Farrell	15
Jamie Foxx	12
Gong Li	9
Naomie Harris	12
Ciarán Hinds	12
Justin Theroux	9
Barry Shabaka Henley	4
Luis Tosar	18
John Ortiz	10
Elizabeth Rodriguez	2
Russell Crowe	12
Joaquin Phoenix	5
Connie Nielsen	14
Oliver Reed	1
Richard Harris	4
Derek Jacobi	5
Djimon Hounsou	18
David Schofield	5
John Shrapnel	4
Tomas Arana	3
Scarlett Johansson	16
Jonathan Rhys Meyers	10
Emily Mortimer	8
Matthew Goode	7
Alexander Armstrong	1
Paul Kaye	2
Brian Cox	16
Penelope Wilton	1
Janis Kelly	1
Alan Oke	1
Elijah Wood	11
Ian McKellen	12
Sean Bean	17
Alan Howard	1
Noel Appleby	2
Sean Astin	7
Sala Baker	4
Billy Boyd	3
Andy Serkis	11
Viggo Mortensen	10
Bruce Allpress	1
John Bach	2
Cate Blanchett	14
Ali Astin	1
David Aston	2
George Clooney	5
John Turturro	10
Tim Blake Nelson	4
John Goodman	13
Holly Hunter	5
Chris Thomas King	1
Charles Durning	2
Del Pentecost	1
Michael Badalucco	1
J.R. Horne	1
Chow Yun-Fat	7
Michelle Yeoh	17
Chang Chen	16
Sihung Lung	2
Pei-Pei Cheng	6
Fazeng Li	1
Xian Gao	2
Yan Hai	1
Deming Wang	1
Christian Bale	14
Heath Ledger	8
Aaron Eckhart	10
Michael Caine	16
Maggie Gyllenhaal	6
Gary Oldman	15
Morgan Freeman	24
Monique Gabriela Curnen	1
Ron Dean	1
Cillian Murphy	13
Jamie Sives	3
Adrian Rawlins	1
Shirley Henderson	4
Lisa McKinlay	1
Mads Mikkelsen	18
Julia Davis	1
Susan Vidler	1
Robert McIntosh	1
Lorraine McIntosh	1
Gordon Brown	5
Nicole Kidman	10
Sean Penn	6
Catherine Keener	7
Jesper Christensen	5
Yvan Attal	24
Earl Cameron	1
George Harris	1
Michael Wright	1
Clyde Kusatsu	1
Eric Keenleyside	1
Tom Cruise	16
Samantha Morton	6
Max von Sydow	8
Steve Harris	5
Neal McDonough	19
Patrick Kilpatrick	4
Jessica Capshaw	1
Richard Coca	2
Keith Campbell	1
Mickey Rourke	21
Clive Owen	15
Bruce Willis	46
Jessica Alba	10
Devon Aoki	6
Alexis Bledel	2
Powers Boothe	3
Cara D. Briggs	1
Jude Ciccolella	2
Jeff Dashnaw	1
Josh Brolin	11
Joseph Gordon-Levitt	9
Rosario Dawson	13
Eva Green	12
Dennis Haysbert	7
Ray Liotta	10
Audrey Tautou	25
Mathieu Kassovitz	15
Rufus	12
Lorella Cravotta	3
Serge Merlin	3
Jamel Debbouze	13
Clotilde Mollet	8
Claire Maurier	3
Isabelle Nanty	21
Dominique Pinon	21
Patrick Stewart	7
Jonathan Frakes	2
Brent Spiner	3
LeVar Burton	1
Michael Dorn	4
Marina Sirtis	2
Gates McFadden	1
Tom Hardy	13
Ron Perlman	21
Shannon Cochran	1
Kiefer Sutherland	8
Nastassja Kinski	5
Alun Armstrong	6
Thomas Heinze	2
Chris Haywood	1
Nicholas Hope	2
Marco Andreacchio	1
Karel Belohradský	1
Jana Bittnerová	4
Sarah Lina Brown	1
Harrison Ford	8
Shia LaBeouf	12
Karen Allen	2
Ray Winstone	13
John Hurt	14
Jim Broadbent	12
Igor Zhizhikin	8
Dimitri Diatchenko	1
Ilia Volok	2
Ewan McGregor	17
Tilda Swinton	12
Peter Mullan	9
Jack McElhone	1
Therese Bradley	2
Ewan Stewart	1
Stuart McQuarrie	2
Pauline Turner	1
Alan Cooke	1
Hugh Grant	8
Nicholas Hoult	13
Toni Collette	7
Sharon Small	1
Madison Cook	1
Jordan Cook	1
Nicholas Hutchison	1
Ryan Speechley	1
Joseph Speechley	1
Natalia Tena	4
Takeshi Kitano	5
Tadanobu Asano	19
Yui Natsukawa	6
Michiyo Yasuda	1
Taka Guadalcanal	2
Daigorô Tachibana	1
Yûko Daike	1
Ittoku Kishibe	6
Saburô Ishikura	1
Akira Emoto	10
Naomi Watts	12
Jack Black	7
Adrien Brody	8
Thomas Kretschmann	14
Colin Hanks	3
Evan Parke	1
Lobo Chan	1
John Sumner	1
