year,budget_max,budget_min,budget_moyen
2000,125000000,46000,33622262.623188406
2001,140000000,50,38650065.60759494
2002,140000000,2,34803166.94736842
2003,200000000,8,38054690.47674418
2004,200000000,74050,36857134.85393258
2005,207000000,500000,36591542.20224719
2006,270000000,24,33139190.235849056
2007,300000000,16,29923442.019230768
2008,200000000,1,33943103.56910569
2009,237000000,10,28437554.414965987
2010,200000000,200,29088612.06756757
2011,379000000,1,29738584.770186335
2012,250000000,5,33150632.694444444
2013,250000000,7,34831467.961538464
2014,250000000,1,37543430.581560284
2015,365000000,9,33263289.12857143
2016,250000000,60,33542498.988950275
2017,300000000,150,34189236.22155689
2018,579330426,1,36972632.17687075
2019,356000000,20,35819813.08661418
2020,205000000,2,30720055.14084507
2021,250000000,10000,38384182.27884615
2022,460000000,300,36902270.115384616
2023,250000000,5000,24544231.96
