	acteur	liste_films
0	'Ganja' Karuppu	[455032, 373587, 48759, 63636, 69509, 69546, 69556, 69598, 69638, 76850, 76965, 76974]
1	'Nandha' Saravanan	[69539]
2	'Poo' Ram	[873696, 680652, 595228]
3	'Punnagai Poo' Geetha	[63666]
4	'University' Jeevan	[330629]
5	'Winner' Ramachandran	[591086]
6	2 Chainz	[846433]
7	50 Cent	[13389, 480042, 449443, 440471, 32678, 40720, 51250, 107846, 122800, 139567, 307081]
8	5Gang	[659153]
9	9 Million Sam	[30305]
10	96gowtham	[617385]
11	A. Galak	[481928]
12	A. Ilankumaran	[330419]
13	A. Russell Andrews	[7220]
14	A. Venkatesh	[915501, 576928, 410432]
15	A.C. Peterson	[10375, 410988, 32067, 34769]
16	A.J. Beckles	[268266, 268266]
17	A.J. McKee	[965839]
18	A.K. Hangal	[141139]
19	A.L. Raja	[402692]
20	A.M. Lukas	[384242]
21	A.M.R. Ramesh	[404720]
22	A.R. Manikandan	[39523]
23	A.R. Murugadoss	[504231, 263475]
24	A.S. Ravi Kumar Chowdary	[81062]
25	AC Mizal	[1017838, 481928, 481928, 244850]
26	AJ Blackwell	[786573, 786573]
27	AJ Cedeno	[1076047]
28	AJ Michalka	[385031]
29	AJ Muhlach	[473036]
30	AMG	[15012]
31	Aachi Manorama	[49029, 62756, 76974, 339829]
32	Aadar Malik	[544334]
33	Aadarsh Balakrishna	[683342, 658113, 612005, 420843, 374954, 81997]
34	Aadhav Kannadasan	[536013]
35	Aadhi	[927909, 461126, 374954, 256968, 264049]
36	Aadhira Pandilakshmi	[371429, 363313]
37	Aadi	[890195, 628577]
38	Aadil Chahal	[298923]
39	Aadithya Kathir	[873696]
40	Aadukalam Murugadoss	[495503]
41	Aadukalam Naren	[974731, 918864, 759989, 666564, 621004, 576928, 534963, 493178, 413750, 411717, 408921, 349740, 68016, 134016, 270766, 280878]
42	Aafke Buringh	[138199]
43	Aahaan Desai	[603104, 64881]
44	Aahana Kumra	[719949]
45	Aahuthi Prasad	[67902, 80395, 82324, 82909, 117058, 301668, 307769, 308306, 81986]
46	Aajeedh	[785664]
47	Aakanksha Singh	[901225, 607294, 550864]
48	Aakash	[590162]
49	Aakash Bhatija	[864692]
50	Aake Kalliala	[102234]
51	Aakkash Dabhade	[228355]
52	Aalayna Lys	[470643]
53	Aaliyah	[2085]
54	Aaliyah Lopez	[531499]
55	Aamani	[800046, 501987, 467242]
56	Aamani Hazrath	[1015581]
57	Aamina Sheikh	[308274]
58	Aamir Ali Malik	[100086]
59	Aamir Bashir	[621003, 280795]
60	Aamir Kazmi	[618929]
61	Aamir Khan	[8453, 14070, 14070, 472138, 360814, 44977, 44977, 67109]
62	Aamir Naik	[14070, 323517]
