	id_directeur	liste_films	directeur
1	nm0000080	[299782]	Orson Welles
2	nm0000091	[10798, 12577]	Gérard Pirès
3	nm0000095	[116, 4787, 5038, 10739, 19265, 229297]	Woody Allen
4	nm0000108	[9992, 11227, 484641, 26505, 35552, 42949, 77878, 112205, 240832, 339964]	Luc Besson
5	nm0000110	[10195, 505026, 475430, 51333, 137094]	Kenneth Branagh
6	nm0000116	[19995, 76600]	James Cameron
7	nm0000118	[10016]	John Carpenter
8	nm0000123	[3291, 152760]	George Clooney
9	nm0000126	[2055]	Kevin Costner
10	nm0000127	[2266]	Wes Craven
11	nm0000134	[1247]	Robert De Niro
12	nm0000142	[1251, 5551, 9573, 190859]	Clint Eastwood
13	nm0000146	[477887]	Ralph Fiennes
14	nm0000154	[1579]	Mel Gibson
15	nm0000158	[59861]	Tom Hanks
16	nm0000165	[11499, 698948, 348350, 96721, 205775, 207932]	Ron Howard
17	nm0000169	[8053, 264656]	Tommy Lee Jones
18	nm0000184	[1894, 1895]	George Lucas
19	nm0000185	[13723, 683311, 23404, 26116]	Dolph Lundgren
20	nm0000186	[1018, 1730, 36108]	David Lynch
21	nm0000206	[76544]	Keanu Reeves
22	nm0000217	[44826]	Martin Scorsese
23	nm0000229	[180, 217, 612, 57212, 333339]	Steven Spielberg
24	nm0000230	[7555, 27578]	Sylvester Stallone
25	nm0000231	[1966]	Oliver Stone
26	nm0000233	[24, 187, 393, 1991, 16869, 414419, 285923]	Quentin Tarantino
27	nm0000241	[51488]	Jean-Claude Van Damme
28	nm0000247	[955, 9620, 12100, 12289, 15384, 372782, 24553, 44092, 295273]	John Woo
29	nm0000269	[853, 1997, 811596, 77221]	Jean-Jacques Annaud
30	nm0000272	[61835]	Fanny Ardant
31	nm0000318	[869]	Tim Burton
32	nm0000329	[76349, 98567]	Jackie Chan
33	nm0000338	[7797]	Francis Ford Coppola
34	nm0000343	[9613, 958275, 819876, 36108, 49014, 157851]	David Cronenberg
35	nm0000352	[492565]	Vincent D'Onofrio
36	nm0000361	[2067, 9280, 9676, 109099]	Brian De Palma
37	nm0000365	[1845, 8316, 477657, 84165, 85449, 341392]	Julie Delpy
38	nm0000367	[2266]	Gérard Depardieu
39	nm0000382	[16351, 548170, 28211, 36108]	Atom Egoyan
40	nm0000386	[435, 2024, 7840, 14161, 522162, 406759, 47933, 117251]	Roland Emmerich
41	nm0000416	[4442, 8054, 157834, 297725]	Terry Gilliam
42	nm0000419	[414030, 26347, 52717, 79591, 114982, 284051]	Jean-Luc Godard
43	nm0000420	[186988]	Valeria Golino
44	nm0000425	[121869, 139820]	Peter Greenaway
45	nm0000431	[119283]	Taylor Hackford
46	nm0000464	[308, 370755, 152603]	Jim Jarmusch
47	nm0000466	[194, 2841, 665828, 27936, 157841]	Jean-Pierre Jeunet
48	nm0000487	[146, 1927, 4588, 453405]	Ang Lee
49	nm0000490	[24553, 87516]	Spike Lee
50	nm0000517	[86822]	Terrence Malick
51	nm0000519	[11088, 11169, 21991]	David Mamet
52	nm0000520	[82, 11322, 201088]	Michael Mann
53	nm0000568	[11371]	Frank Oz
54	nm0000576	[1926]	Sean Penn
55	nm0000583	[503, 652, 2133]	Wolfgang Petersen
56	nm0000591	[257, 423, 11439, 416051, 399121, 36108, 72113, 197082]	Roman Polanski
57	nm0000600	[557, 558, 559, 453395]	Sam Raimi
58	nm0000601	[9005]	Harold Ramis
59	nm0000602	[4515]	Robert Redford
60	nm0000631	[98, 855, 1495, 12113, 20662, 617653, 24553, 147441]	Ridley Scott
61	nm0000682	[9383, 454527, 337674]	Paul Verhoeven
62	nm0000691	[14195]	John Waters
63	nm0000694	[3527, 8886, 505205, 375327, 36108, 50621, 246127, 265297]	Wim Wenders
64	nm0000709	[2310, 369885]	Robert Zemeckis
65	nm0000750	[9341]	Jon Amiel
66	nm0000766	[36108, 37952]	Theodoros Angelopoulos
67	nm0000774	[39850]	Michelangelo Antonioni
68	nm0000776	[291276]	Michael Apted
69	nm0000777	[46837, 157825]	Gregg Araki
70	nm0000780	[11042, 24173, 47302]	Denys Arcand
71	nm0000782	[26579, 266036]	Asia Argento
72	nm0000801	[2266, 8282, 471856, 451184, 24488, 36108, 39851, 64310, 122089, 246860, 340676]	Olivier Assayas
73	nm0000806	[36108]	Bille August
74	nm0000809	[62580, 200645, 201018]	Daniel Auteuil
75	nm0000812	[477508]	Roger Avary
76	nm0000816	[13389]	Jon Avnet
77	nm0000829	[201]	Stuart Baird
78	nm0000852	[12838, 83388]	Jean-Marc Barr
79	nm0000853	[20268]	Bruno Barreto
80	nm0000881	[676, 1635, 1858, 8373, 8961, 763285, 509967, 38356, 91314, 134374, 300671, 335988]	Michael Bay
81	nm0000894	[49691]	Jean-Jacques Beineix
82	nm0000914	[10922]	Robert Benton
83	nm0000915	[1441]	Bruce Beresford
84	nm0000916	[4349, 8960, 10159, 581600, 388399, 347375, 44833, 193756, 296524]	Peter Berg
85	nm0000934	[1278, 79591]	Bernardo Bertolucci
86	nm0000941	[13526]	Kathryn Bigelow
87	nm0000948	[346910, 68721, 290250]	Shane Black
88	nm0000957	[1996]	Jan de Bont
89	nm0000958	[266084]	John Boorman
90	nm0000965	[12405, 13373, 44115, 68727]	Danny Boyle
91	nm0001005	[29963, 36108, 50621]	Jane Campion
92	nm0001031	[5592, 10305, 10930, 12713, 15576, 72272]	Claude Chabrol
93	nm0001047	[36108]	Michael Cimino
94	nm0001053	[134, 2266, 4944, 12573, 36108, 86829]	Ethan Coen
95	nm0001054	[134, 2266, 4944, 12573, 36108, 86829]	Joel Coen
96	nm0001060	[257344]	Chris Columbus
97	nm0001064	[102222]	Jason Connery
98	nm0001068	[1887, 39210, 96936]	Sofia Coppola
99	nm0001093	[13922]	John Dahl
100	nm0001112	[4643, 9884]	Andrew Davis
101	nm0001125	[94904]	Benicio Del Toro
102	nm0001149	[2207, 9562]	Richard Donner
103	nm0001188	[10783]	Nora Ephron
104	nm0001206	[49110, 64942, 283700]	Abel Ferrara
105	nm0001214	[79591]	Mike Figgis
106	nm0001219	[4965, 204082]	Gary Fleder
107	nm0001226	[10743]	James Foley
108	nm0001239	[2155]	John Frankenheimer
109	nm0001241	[1165, 22215, 914216, 48834, 271736]	Stephen Frears
110	nm0001243	[10479, 10632]	William Friedkin
111	nm0001252	[12703]	Vincent Gallo
112	nm0001290	[15013]	Richard E. Grant
113	nm0001317	[9954, 10477, 17134, 581644, 555020, 531368, 270774]	Renny Harlin
114	nm0001325	[24200]	Hal Hartley
115	nm0001331	[3902, 10712]	Todd Haynes
116	nm0001338	[9476, 276907]	Brian Helgeland
117	nm0001348	[8410, 977341]	Werner Herzog
118	nm0001353	[399173, 70074]	Walter Hill
119	nm0001382	[11370, 238589]	Peter Hyams
120	nm0001392	[120, 121, 122, 254, 49051, 57158, 122917]	Peter Jackson
121	nm0001401	[314385]	Angelina Jolie
122	nm0001403	[6016, 844417]	Neil Jordan
123	nm0001408	[4517, 9093]	Shekhar Kapur
124	nm0001429	[246, 452323, 36108, 45284, 121828, 315841]	Takeshi Kitano
125	nm0001437	[8269, 8908, 20128, 24553]	Emir Kusturica
126	nm0001438	[22958]	Neil LaBute
127	nm0001460	[14979]	Mimi Leder
128	nm0001469	[606870]	Barry Levinson
129	nm0001490	[2251]	Adrian Lyne
130	nm0001502	[9039]	Luis Mandoki
131	nm0001532	[10782]	John McTiernan
132	nm0001565	[9543, 451480]	Mike Newell
133	nm0001628	[179]	Sydney Pollack
134	nm0001639	[2048, 13811, 205584]	Alex Proyas
135	nm0001641	[334522]	Vincent Perez
136	nm0001675	[187, 189, 1428, 1992, 9488, 10054, 12279, 615677, 399579, 23631, 106747, 285923]	Robert Rodriguez
137	nm0001681	[11683, 29512]	George A. Romero
138	nm0001708	[3132, 40720]	Joel Schumacher
139	nm0001709	[130747]	Til Schweiger
140	nm0001716	[1535, 7551, 9509, 9923, 18487, 44048]	Tony Scott
141	nm0001741	[1452, 36657, 36658, 81005, 127585, 246655]	Bryan Singer
142	nm0001752	[8880, 8881, 399170, 39850, 70435]	Steven Soderbergh
