	id_tmdb	liste_acteurs
0	16	[['Björk'], ['Catherine Deneuve'], ['David Morse'], ['Peter Stormare'], ['Joel Grey'], ['Cara Seymour'], ['Vladica Kostic'], ['Jean-Marc Barr'], ['Vincent Paterson'], ['Siobhan Fallon Hogan']]
1	22	"[['Johnny Depp'], ['Geoffrey Rush'], ['Orlando Bloom'], ['Keira Knightley'], ['Jack Davenport'], ['Jonathan Pryce'], ['Lee Arenberg'], ['Mackenzie Crook'], [""Damian O'Hare""], ['Giles New']]"
2	24	"[['Uma Thurman'], ['David Carradine'], ['Daryl Hannah'], ['Michael Madsen'], ['Lucy Liu'], ['Vivica A. Fox'], ['Julie Dreyfus'], ['Chiaki Kuriyama'], [""Shin'ichi Chiba""], ['Chia-Hui Liu']]"
3	58	[['Johnny Depp'], ['Orlando Bloom'], ['Keira Knightley'], ['Jack Davenport'], ['Bill Nighy'], ['Jonathan Pryce'], ['Lee Arenberg'], ['Mackenzie Crook'], ['Kevin McNally'], ['David Bailie']]
4	67	[['Kais Nashif'], ['Ali Suliman'], ['Lubna Azabal'], ['Hamza Abu-Aiaash'], ['Lutuf Nouasser'], ['Mohammad Bustami'], ['Ahmad Fares'], ['Waleed On-Allah'], ['Asaad Dwikat'], ['Imad Saber']]
5	71	[['Jamie Bell'], ['Julie Walters'], ['Jean Heywood'], ['Jamie Draven'], ['Gary Lewis'], ['Stuart Wells'], ['Mike Elliot'], ['Billy Fane'], ['Nicola Blackwell'], ['Carol McGuigan']]
6	79	[['Jet Li'], ['Tony Leung Chiu-wai'], ['Maggie Cheung'], ['Ziyi Zhang'], ['Daoming Chen'], ['Donnie Yen'], ['Zhongyuan Liu'], ['Tianyong Zheng'], ['Yan Qin'], ['Chang Xiao Yang']]
7	82	[['Colin Farrell'], ['Jamie Foxx'], ['Gong Li'], ['Naomie Harris'], ['Ciarán Hinds'], ['Justin Theroux'], ['Barry Shabaka Henley'], ['Luis Tosar'], ['John Ortiz'], ['Elizabeth Rodriguez']]
8	98	[['Russell Crowe'], ['Joaquin Phoenix'], ['Connie Nielsen'], ['Oliver Reed'], ['Richard Harris'], ['Derek Jacobi'], ['Djimon Hounsou'], ['David Schofield'], ['John Shrapnel'], ['Tomas Arana']]
9	116	[['Scarlett Johansson'], ['Jonathan Rhys Meyers'], ['Emily Mortimer'], ['Matthew Goode'], ['Alexander Armstrong'], ['Paul Kaye'], ['Brian Cox'], ['Penelope Wilton'], ['Janis Kelly'], ['Alan Oke']]
10	120	[['Elijah Wood'], ['Ian McKellen'], ['Orlando Bloom'], ['Sean Bean'], ['Alan Howard'], ['Noel Appleby'], ['Sean Astin'], ['Sala Baker'], ['Sala Baker'], ['Sala Baker'], ['Billy Boyd'], ['Andy Serkis']]
11	121	[['Elijah Wood'], ['Ian McKellen'], ['Viggo Mortensen'], ['Orlando Bloom'], ['Bruce Allpress'], ['Sean Astin'], ['John Bach'], ['Sala Baker'], ['Cate Blanchett'], ['Billy Boyd']]
12	122	[['Elijah Wood'], ['Viggo Mortensen'], ['Ian McKellen'], ['Orlando Bloom'], ['Noel Appleby'], ['Ali Astin'], ['Sean Astin'], ['David Aston'], ['John Bach'], ['Sean Bean']]
13	134	[['George Clooney'], ['John Turturro'], ['Tim Blake Nelson'], ['John Goodman'], ['Holly Hunter'], ['Chris Thomas King'], ['Charles Durning'], ['Del Pentecost'], ['Michael Badalucco'], ['J.R. Horne']]
14	146	[['Chow Yun-Fat'], ['Michelle Yeoh'], ['Ziyi Zhang'], ['Chang Chen'], ['Sihung Lung'], ['Pei-Pei Cheng'], ['Fazeng Li'], ['Xian Gao'], ['Yan Hai'], ['Deming Wang']]
15	155	[['Christian Bale'], ['Christian Bale'], ['Heath Ledger'], ['Aaron Eckhart'], ['Michael Caine'], ['Maggie Gyllenhaal'], ['Gary Oldman'], ['Morgan Freeman'], ['Monique Gabriela Curnen'], ['Ron Dean'], ['Cillian Murphy']]
