director	nombre	primaryName
nm0001885	11	Lars von Trier
nm0893659	5	Gore Verbinski
nm0000233	7	Quentin Tarantino
nm0009463	1	Hany Abu-Assad
nm0197636	1	Stephen Daldry
nm0955443	6	Yimou Zhang
nm0000520	3	Michael Mann
nm0000631	8	Ridley Scott
nm0000095	6	Woody Allen
nm0001392	7	Peter Jackson
nm0001054	6	Joel Coen
nm0001053	6	Ethan Coen
nm0000487	4	Ang Lee
nm0634240	6	Christopher Nolan
nm0771054	3	Lone Scherfig
nm0001628	1	Sydney Pollack
nm0000229	5	Steven Spielberg
nm0588340	2	Frank Miller
nm0001675	12	Robert Rodriguez
nm0000466	5	Jean-Pierre Jeunet
nm0000829	1	Stuart Baird
nm0028196	2	Mario Andreacchio
nm0533284	2	David Mackenzie
nm0919363	1	Chris Weitz
nm0919369	2	Paul Weitz
nm0001429	6	Takeshi Kitano
nm0000591	8	Roman Polanski
nm0936482	4	Len Wiseman
nm0609236	4	Jonathan Mostow
nm0327273	7	Michel Gondry
nm0654830	20	François Ozon
nm0000464	3	Jim Jarmusch
nm0254786	2	David R. Ellis
nm0002653	3	Joe Johnston
nm0243191	5	François Dupeyron
nm0694946	2	Manuel Pradal
nm0239725	6	Olivier Ducastel
nm0553303	6	Jacques Martineau
nm0291205	1	David Frankel
nm0027271	9	Paul W.S. Anderson
nm0000386	8	Roland Emmerich
nm0833779	1	Colin Strause
nm0833780	1	Greg Strause
nm0359734	8	Michael Haneke
nm0005436	4	John Singleton
nm0619762	3	Mira Nair
nm0000583	3	Wolfgang Petersen
nm0193485	1	Richard Curtis
nm0629334	6	McG
nm0110300	7	Stéphane Brizé
nm1286340	1	Angela Robinson
nm0000600	4	Sam Raimi
nm1349376	3	Francis Lawrence
nm0106924	6	Catherine Breillat
nm0003697	2	Florian Henckel von Donnersmarck
nm0304521	3	Christophe Gans
nm0576987	2	Fernando Meirelles
nm0526199	2	Kátia Lund
nm0905154	5	Lana Wachowski
nm0905152	4	Lilly Wachowski
nm0001756	4	Barry Sonnenfeld
nm0001880	4	Edward Zwick
nm0634602	1	Tetsuya Nomura
